,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
71,71,28 days later...,2,16,7,97
72,72,the night house,12,10,16,4
73,73,insidious,12,10,16,4
74,74,dracula,2,11,17,51
75,75,it follows,12,10,16,4
76,76,constantine,3,11,17,99
77,77,life,12,6,16,34
78,78,el hoyo,12,6,16,34
79,79,the invisible man,2,16,10,18
80,80,world war z,3,2,17,9
81,81,event horizon,12,6,16,34
82,82,the new mutants,3,16,10,18
83,83,10 cloverfield lane,2,16,10,18
84,84,busanhaeng,3,16,16,87
85,85,under the skin,2,16,10,18
86,86,malignant,11,16,10,17
87,87,what ever happened to baby jane?,2,16,16,87
88,88,saw,12,10,16,4
89,89,blade,3,16,7,3
90,90,the rocky horror picture show,0,16,0,39
91,91,the others,12,10,16,4
92,92,don't breathe,11,16,16,60
93,93,titane,2,16,7,97
94,94,the killing of a sacred deer,2,16,10,18
95,95,eight for silver,9,16,10,55
96,96,the poughkeepsie tapes,12,10,16,4
97,97,vivarium,12,10,7,11
98,98,the crow,3,15,5,27
99,99,hotel transylvania: transformania,4,2,2,8
100,100,escape room: tournament of champions,3,2,17,9
101,101,the conjuring: the devil made me do it,12,10,16,4
102,102,the descent,1,16,16,10
103,103,the craft,2,11,17,51
104,104,zombieland,3,1,17,98
105,105,they live,3,16,7,3
106,106,a cure for wellness,2,11,17,51
107,107,don't breathe 2,3,15,17,35
108,108,the rental,2,16,10,18
109,109,urban legend,12,10,16,4
110,110,the visit,12,10,16,4
111,111,spiral: from the book of saw,11,16,10,17
112,112,little shop of horrors,0,16,0,39
113,113,the fly,2,16,7,97
114,114,friday the 13th,12,10,16,4
115,115,47 meters down,1,3,17,94
116,116,antlers,2,16,10,18
117,117,vampires,3,16,16,87
118,118,jaws 2,1,16,16,10
119,119,escape room,3,2,17,9
120,120,gerald's game,2,16,16,87
121,121,the purge,12,6,16,34
122,122,la tua presenza nuda!,11,3,17,14
123,123,ang-ma-reul bo-at-da,3,15,5,27
124,124,resident evil: apocalypse,3,16,7,3
125,125,doom,3,16,7,3
126,126,mandy,3,11,17,99
127,127,the house that jack built,11,3,17,14
128,128,pitch black,3,16,7,3
129,129,climax,2,16,13,45
130,130,the conjuring 2,12,10,16,4
131,131,dark shadows,0,11,17,1
132,132,gremlins,0,11,17,1
133,133,marrowbone,1,3,17,94
134,134,glass,2,16,7,97
135,135,blair witch,12,10,16,4
136,136,evil dead rise,9,16,16,23
137,137,sleepy hollow,9,16,10,55
138,138,the mummy: tomb of the dragon emperor,3,11,17,99
139,139,cloverfield,3,16,7,3
140,140,the cloverfield paradox,3,16,7,3
141,141,choose or die,2,16,16,87
142,142,resident evil: retribution,3,16,7,3
143,143,no one gets out alive,2,16,10,18
144,144,antichrist,2,16,16,87
145,145,the cell,11,16,7,71
146,146,fantasy island,9,16,10,55
147,147,the forever purge,3,16,16,87
148,148,scary stories to tell in the dark,1,16,10,18
149,149,teeth,0,11,17,1
150,150,the dead don't die,0,11,17,1
151,151,gokseong,2,16,10,18
152,152,the ritual,12,10,16,4
153,153,crawl,3,2,17,9
154,154,freaky,0,16,16,10
155,155,alien resurrection,3,16,7,3
156,156,the boy,12,10,16,4
157,157,the faculty,12,10,7,11
158,158,halloween,11,16,16,60
159,159,the witches,1,1,12,28
160,160,angel heart,12,10,16,4
161,161,alien³,3,16,7,3
162,162,the nun,12,10,16,4
163,163,willy's wonderland,3,1,17,98
164,164,crimson peak,2,16,10,18
165,165,studio 666,0,16,13,45
166,166,death becomes her,0,11,17,1
167,167,the turning,2,16,10,18
168,168,cube,2,16,10,18
169,169,avp: alien vs. predator,3,2,17,9
170,170,unhinged,3,16,16,87
171,171,hotel transylvania,4,2,2,8
172,172,annabelle,12,10,16,4
173,173,the invitation,2,16,10,18
174,174,gwoemul,3,3,17,9
175,175,resident evil: the final chapter,3,16,7,3
176,176,alone,2,16,10,18
177,177,ghostland,2,16,10,18
178,178,the devil's rejects,11,16,9,17
179,179,things heard &amp; seen,2,16,10,18
180,180,47 meters down: uncaged,1,3,17,94
181,181,1408,9,16,10,55
182,182,the covenant,3,2,11,44
183,183,the eden theory,12,6,16,34
184,184,case 39,12,10,16,4
185,185,saint maud,2,16,10,18
186,186,haunted mansion,0,3,12,2
187,187,underworld: blood wars,3,2,11,44
188,188,hellboy ii: the golden army,3,2,11,44
189,189,the addams family 2,4,2,2,8
190,190,annabelle: creation,12,10,16,4
191,191,jaws 3-d,1,16,16,10
192,192,the return of the living dead,0,16,7,26
193,193,the autopsy of jane doe,12,10,16,4
194,194,scooby-doo 2: monsters unleashed,1,1,12,28
195,195,species,3,16,7,3
196,196,resident evil: extinction,3,16,7,3
197,197,let me in,2,11,17,51
198,198,green room,11,3,17,14
199,199,28 weeks later,3,2,17,9
200,200,high life,1,3,17,94
201,202,death note,11,3,11,20
202,203,in the mouth of madness,2,11,17,51
203,204,zombieland: double tap,3,1,17,98
204,205,jaws: the revenge,1,16,16,10
205,206,hollow man,3,16,7,3
206,207,the deep house,2,16,10,18
207,208,predator 2,3,16,7,3
208,209,kol,11,16,10,17
209,210,possessor,12,10,7,11
210,211,the island of dr. moreau,12,6,16,34
211,212,anaconda,3,2,17,9
212,213,pandorum,3,16,10,18
213,214,eli,2,16,10,18
214,215,the strangers,12,10,16,4
215,216,legion,3,11,17,99
216,217,umma,2,16,10,18
217,218,pet sematary,9,16,16,23
218,219,megan is missing,2,16,16,87
219,220,blood red sky,3,2,11,44
220,221,velvet buzzsaw,12,10,16,4
221,222,a nightmare on elm street,11,3,17,14
222,223,deliver us from evil,3,2,1,66
223,224,the exorcism of emily rose,2,16,16,87
224,225,m3gan,12,6,16,34
225,226,the birds,2,16,10,18
226,227,unhuman,0,16,16,10
227,228,bones and all,2,16,6,97
228,229,dog soldiers,3,16,16,87
229,230,the pale blue eye,11,16,10,17
230,231,aftermath,2,16,10,18
231,232,piranha 3dd,0,16,7,26
232,233,hansel &amp; gretel: witch hunters,3,11,17,99
233,234,there's someone inside your house,12,10,16,4
234,235,the lodge,2,16,10,18
235,236,ouija: origin of evil,2,16,10,18
236,237,kimetsu no yaiba: mugen ressha-hen,4,4,4,13
237,238,the furies,3,16,16,87
238,239,silent night,0,3,17,94
239,240,"as above, so below",12,10,16,4
240,241,pride and prejudice and zombies,3,1,11,44
241,242,blade ii,3,16,7,3
242,243,disappointment blvd.,0,3,17,94
243,244,happy death day,0,16,10,50
244,245,avpr: aliens vs predator - requiem,3,2,17,9
245,246,la piel que habito,2,16,16,87
246,247,planet terror,3,1,11,44
247,248,braindead,0,11,17,1
248,249,they look like people,2,16,10,18
249,250,monstrous,12,10,16,4
250,251,lifeforce,3,16,10,18
251,253,jacob's ladder,2,16,10,18
252,254,the last house on the left,11,16,16,60
253,255,låt den rätte komma in,2,11,17,51
254,256,the gift,2,11,17,51
255,257,resident evil: afterlife,3,16,7,3
256,258,paranormal activity: next of kin,12,10,16,4
257,259,1922,11,3,17,14
258,260,goosebumps,1,1,11,91
259,261,dracula untold,3,3,11,30
260,262,i see you,11,3,17,14
261,263,grindhouse,3,16,16,87
262,264,blade: trinity,3,16,7,3
263,265,mama,9,16,16,23
264,266,the grudge,12,10,16,4
265,267,night teeth,3,15,5,27
266,268,beetlejuice 2,0,11,17,1
267,269,twin peaks: fire walk with me,2,16,10,18
268,270,renfield,0,11,17,1
269,271,annabelle comes home,12,10,16,4
270,272,skinwalker ranch,12,10,7,11
271,273,his house,2,16,16,87
272,274,[rec],12,10,16,4
273,275,color out of space,12,10,7,11
274,276,it comes at night,2,16,10,18
275,277,the wicker man,12,10,16,4
276,278,the bad batch,3,16,10,18
277,279,tumbbad,2,11,17,51
278,280,underworld: awakening,3,11,17,99
279,281,#saraitda,3,3,17,9
280,282,the wolf of snow hollow,0,16,10,50
281,283,the unholy,2,16,10,18
282,284,south of heaven,3,15,5,27
283,285,buffy the vampire slayer,3,1,11,44
284,286,amsterdamned,3,15,17,35
285,287,ôdishon,2,16,10,18
286,288,werewolves within,0,16,10,50
287,289,the endless,2,11,17,51
288,290,the twin,2,16,10,18
289,291,spawn,3,3,17,9
290,292,maximum overdrive,3,1,17,98
291,293,satanico pandemonium: la sexorcista,12,10,16,4
292,294,shadow in the cloud,3,16,15,87
293,295,the craft: legacy,2,11,17,51
294,296,return to oz,1,9,11,65
295,297,from hell,12,10,16,4
296,298,better watch out,0,16,16,10
297,299,don't look now,2,16,10,18
298,300,hellraiser,12,10,16,4
299,301,i onde dager,3,1,17,98
300,302,apostle,2,11,17,51
301,303,busanhaeng 2: bando,3,16,16,87
302,304,what lies beneath,2,16,10,18
303,305,revenge,3,16,16,87
304,306,the room,2,11,17,51
305,307,leviathan,1,16,10,18
306,308,warm bodies,0,16,6,26
307,309,backcountry,1,3,17,94
308,310,the frighteners,0,11,17,1
309,311,videodrome,12,6,16,34
310,312,friday the 13th part 2,12,10,16,4
311,313,cat people,9,16,16,23
312,314,il racconto dei racconti - tale of tales,2,11,17,51
313,315,scouts guide to the zombie apocalypse,3,1,17,98
314,316,rogue,3,3,17,9
315,317,daybreakers,3,16,7,3
316,318,flux gourmet,0,3,17,94
317,319,assassination nation,3,1,1,47
318,320,the call,3,2,1,66
319,321,summer of 84,2,16,10,18
320,322,spontaneous,0,3,17,94
321,323,hidden,12,6,16,34
322,324,hotel transylvania 3: summer vacation,4,2,2,8
323,325,bride of chucky,0,16,16,10
324,326,bhool bhulaiyaa,0,16,10,50
325,327,frankenstein,2,16,6,97
326,328,yoga hosers,3,1,17,98
327,329,violent night,3,1,1,47
328,330,the final girls,0,3,11,49
329,331,slender man,12,10,16,4
330,332,the curse of la llorona,12,10,16,4
331,333,insidious: chapter 2,12,10,16,4
332,334,sinister 2,12,10,16,4
333,335,slither,0,16,7,26
334,336,a house on the bayou,12,10,16,4
335,337,"batman: the long halloween, part one",4,4,1,54
336,338,scanners,12,6,16,34
337,339,the velocipastor,3,2,2,32
338,340,my bloody valentine,12,10,16,4
339,341,grizzly ii: the predator,12,12,16,4
340,342,end of days,3,11,17,99
341,343,the addams family,4,1,12,56
342,344,in the tall grass,12,10,7,11
343,345,odd thomas,0,11,17,1
344,346,el orfanato,2,16,10,18
345,347,30 days of night,3,2,17,9
346,348,the woman in black,2,11,17,51
347,349,nightbreed,3,11,17,99
348,350,lake placid,3,1,17,98
349,351,the void,12,10,7,11
350,352,the love witch,0,16,6,26
351,353,ouija,12,10,16,4
352,354,queen of the damned,2,11,17,51
353,355,black death,3,3,17,9
354,356,becky,3,15,5,27
355,357,alligator,12,6,16,34
356,358,troll,0,11,17,1
357,359,demonic,2,16,7,97
358,360,re-animator,0,16,7,26
359,361,flatliners,2,16,10,18
360,362,jigsaw,11,16,10,17
361,363,house on haunted hill,11,11,17,4
362,364,pi,2,16,10,18
363,365,the collector,3,16,16,87
364,366,dark skies,12,6,16,34
365,367,abraham lincoln: vampire hunter,3,11,17,99
366,368,existenz,12,10,7,11
367,369,gremlins 2: the new batch,0,11,17,1
368,370,ma,12,10,16,4
369,371,the witches of eastwick,0,11,17,1
370,372,killer klowns from outer space,0,16,7,26
371,373,all the boys love mandy lane,12,10,16,4
372,374,jason x,3,16,7,3
373,375,leprechaun,0,11,17,1
374,376,the blob,12,6,16,34
375,377,devil,12,10,16,4
376,378,brahms: the boy ii,2,16,10,18
377,379,vampire academy,3,1,5,37
378,380,an american crime,5,15,5,27
379,381,the silence,2,16,7,97
380,382,le pacte des loups,3,2,5,37
381,383,the brothers grimm,3,2,2,32
382,384,the purge: anarchy,3,16,7,3
383,385,master,2,16,10,18
384,386,warhunt,3,16,16,87
385,387,dead ringers,2,16,16,87
386,388,the taking,12,10,16,4
387,389,insidious: the last key,12,10,16,4
388,390,morgan,3,16,7,3
389,391,the uninvited,2,11,17,51
390,392,bait,3,11,17,99
391,393,earth vs. the flying saucers,3,16,7,3
392,394,antebellum,2,16,10,18
393,395,piranha,0,16,7,26
394,396,thelma,2,11,17,51
395,397,unfriended,12,10,16,4
396,398,critters,0,16,7,26
397,399,lords of chaos,5,3,17,90
398,400,troll 2,0,11,17,1
399,401,the dead zone,2,16,7,97
400,402,sweetheart,1,16,7,26
401,403,a classic horror story,2,16,10,18
402,404,the haunting,9,16,10,55
403,405,the wolfman,2,11,17,51
404,406,synchronic,11,3,17,14
405,407,priest,3,2,11,44
406,408,insidious: chapter 3,12,10,16,4
407,409,child's play,2,16,7,97
408,410,zombie strippers!,0,16,7,26
409,411,the wraith,3,16,6,3
410,412,the skeleton key,2,16,10,18
411,413,circle,2,16,10,18
412,414,wolves,3,11,17,99
413,415,friday the 13th: a new beginning,12,10,16,4
414,416,invasion of the body snatchers,2,16,7,97
415,417,gretel &amp; hansel,9,16,10,55
416,418,king kong,1,16,7,26
417,419,the possession of hannah grace,12,10,16,4
418,420,the vanishing,2,16,10,18
419,421,wolf,2,16,6,97
420,422,hotel transylvania 2,4,2,2,8
421,423,orca,1,3,17,94
422,424,the fourth kind,12,10,7,11
423,425,phenomena,11,16,10,17
424,426,"janghwa, hongryeon",2,16,10,18
425,427,trauma,3,3,17,9
426,429,the girl with all the gifts,3,2,5,37
427,430,the crazies,1,16,10,18
428,431,red riding hood,9,16,10,55
429,432,the perfection,2,16,13,45
430,433,species ii,3,16,7,3
431,434,the forest,12,10,16,4
432,435,seed of chucky,0,16,16,10
433,436,where the wild things are,1,3,12,92
434,437,mayhem,3,1,17,98
435,438,unsane,2,16,10,18
436,439,creepshow,0,11,17,1
437,440,dead silence,12,10,16,4
438,442,arachnophobia,0,16,16,10
439,444,"ich seh, ich seh",12,10,16,4
440,445,la región salvaje,2,16,10,18
441,446,stir of echoes,12,10,16,4
442,447,captive state,3,16,7,3
443,448,the reef,1,3,17,94
444,449,the owners,0,15,17,10
445,450,wes craven's new nightmare,9,16,10,55
446,451,wounds,2,16,10,18
447,452,the moth diaries,2,11,17,51
448,453,hounds of love,11,3,17,14
449,454,the unborn,12,10,16,4
450,455,black box,12,10,7,11
451,456,a quiet place: day one,2,16,7,97
452,457,the little girl who lives down the lane,2,16,10,18
453,458,the possession,12,10,16,4
454,459,idle hands,0,11,17,1
455,460,the sword and the sorcerer,3,2,11,44
456,461,malevolent,12,10,16,4
457,462,saw 3d,11,16,10,17
458,463,open water,1,3,17,94
459,464,the accursed,2,16,10,18
460,465,excision,0,3,17,94
461,466,the sixth secret,0,16,10,50
462,467,the purge: election year,3,16,7,3
463,468,dreamcatcher,2,16,7,97
464,469,the omen,2,11,17,51
465,470,v/h/s/94,12,10,16,4
466,471,bubba ho-tep,0,11,17,1
467,472,the haunted mansion,0,9,11,16
468,473,leatherface,11,16,16,60
469,474,repo! the genetic opera,12,0,7,59
470,475,ghosts of war,12,14,15,60
471,476,dark water,2,16,10,18
472,477,ghosts of mars,3,16,7,3
473,478,nightbooks,7,11,17,81
474,479,elizabeth harvest,12,6,16,34
475,480,wendell and wild,4,2,2,8
476,481,splinter,12,6,16,34
477,482,shin gojira,3,3,17,9
478,483,the monster squad,3,1,11,44
479,484,cell,3,2,17,9
480,485,berlin syndrome,2,16,10,18
481,486,cam,2,16,10,18
482,487,bakjwi,2,11,17,51
483,488,regression,1,15,5,48
484,489,shutter,12,10,16,4
485,490,deep rising,3,2,17,9
486,491,silent hill: revelation,12,10,16,4
487,492,ghoulies,0,11,17,1
488,493,dracula 2000,3,11,17,99
489,494,land of the dead,12,6,16,34
490,495,the last days on mars,1,16,7,26
491,496,al tercer día,2,11,17,51
492,497,saw iii,11,16,10,17
493,498,ginger snaps,2,11,17,51
494,499,kill list,3,15,17,35
495,500,das cabinet des dr. caligari,12,10,16,4
496,501,aileen wuornos: american boogeywoman,2,16,16,87
497,502,maniac,11,3,17,14
498,503,noroi,12,10,16,4
499,504,altered states,12,6,16,34
500,505,the cave,1,16,7,26
501,506,unfriended: dark web,12,10,16,4
502,507,the relic,12,10,7,11
503,508,henry: portrait of a serial killer,5,15,5,27
504,509,witch hunt,9,16,16,23
505,510,in the earth,12,10,7,11
506,511,coming home in the dark,11,16,16,60
507,512,the toxic avenger,3,1,17,98
508,513,dark cloud,12,6,16,34
509,514,before i wake,2,11,17,51
510,515,gothika,12,10,16,4
511,517,cure,11,16,10,17
512,518,house,0,11,17,1
513,519,nocturne,2,16,13,45
514,520,bloody hell,3,1,17,98
515,521,we summon the darkness,12,12,16,4
516,522,my friend dahmer,5,3,17,90
517,523,the good neighbor,11,3,17,14
518,524,antiviral,12,10,7,11
519,526,insidious 5,2,16,16,87
520,527,gremlins 3,0,11,17,1
521,528,twixt,0,11,17,1
522,529,village of the damned,12,6,16,34
523,530,the ward,12,10,16,4
524,531,jason goes to hell: the final friday,9,16,16,23
525,532,trouble every day,2,16,16,87
526,533,occhiali neri,12,10,16,4
527,534,maneater,3,16,16,87
528,535,the return of the texas chainsaw massacre,0,16,16,10
529,536,quarantine,12,6,16,34
530,537,the first purge,3,16,7,3
531,538,the last train to new york,3,16,16,87
532,539,fear of rain,2,16,16,87
533,540,voces,1,3,17,94
534,541,daniel isn't real,11,3,11,20
535,542,winchester,2,11,17,51
536,543,spring,12,5,7,58
537,544,the stepford wives,0,16,7,26
538,545,red state,3,15,17,35
539,546,frankenhooker,0,16,7,26
540,547,maggie,2,16,7,97
541,548,ai amu a hîrô,3,1,17,98
542,549,tales from the crypt: demon knight,3,11,17,99
543,550,1br,2,16,16,87
544,551,the voices,0,15,11,50
545,552,sea fever,2,16,10,18
546,553,the sand,0,16,7,26
547,554,the last thing mary saw,2,16,16,87
548,555,cat's eye,0,16,16,10
549,556,black christmas,12,10,16,4
550,557,the rite,2,16,10,18
551,558,mil gritos tiene la noche,12,10,16,4
552,559,profondo rosso,12,10,16,4
553,560,we have a ghost,1,1,12,28
554,561,valentine,12,10,16,4
555,562,may,0,3,17,94
556,563,relic,2,16,10,18
557,564,split second,3,15,17,35
558,565,solomon kane,3,2,11,44
559,566,and soon the darkness,2,16,10,18
560,567,follow me,1,16,10,18
561,568,night of the comet,0,16,7,26
562,569,the people under the stairs,0,16,10,50
563,570,vampire's kiss,0,15,11,50
564,571,the haunting in connecticut,2,16,10,18
565,572,el espinazo del diablo,2,16,16,87
566,573,disturbing behavior,12,10,7,11
567,574,the free fall,2,16,10,18
568,575,false positive,12,10,16,4
569,576,john and the hole,2,16,16,87
570,577,night of the demons,0,11,17,1
571,578,mindhunters,11,16,16,60
572,579,supernova,12,6,16,34
573,580,eliza graves,2,16,10,18
574,581,cargo,2,16,7,97
575,582,halloween iii: season of the witch,12,10,7,11
576,583,a haunted house,0,11,17,1
577,584,come play,2,16,10,18
578,585,dark angel,3,15,17,35
579,586,an american werewolf in paris,0,11,17,1
580,587,bad taste,0,16,7,26
581,588,house at the end of the street,2,16,16,87
582,590,the stuff,0,16,7,26
583,591,cold skin,3,16,7,3
584,593,once bitten,0,3,11,49
585,594,without warning,12,6,16,34
586,595,cooties,3,1,17,98
587,596,hunter hunter,2,16,10,18
588,597,super dark times,11,3,17,14
589,598,tenebre,12,10,16,4
590,599,psycho ii,11,16,10,17
591,600,creep 2,11,3,17,14
592,601,the keep,2,11,17,51
593,602,saw vi,12,10,16,4
594,603,córki dancingu,2,11,17,51
595,604,lake mungo,2,16,10,18
596,605,the collection,3,2,17,9
597,606,quatermass and the pit,12,10,7,11
598,607,beyond the black rainbow,12,6,16,34
599,608,bad samaritan,11,16,16,60
600,609,tenemos la carne,2,11,17,51
601,610,look away,2,11,17,51
602,611,the prophecy,3,15,5,27
603,612,phantom of the paradise,0,3,11,49
604,613,the exorcist iii,2,16,10,18
605,614,trolljegeren,2,11,17,51
606,615,session 9,2,16,10,18
607,616,rubber,0,11,17,1
608,617,the descent: part 2,1,16,16,10
609,618,mientras duermes,1,15,5,48
610,619,the house on sorority row,12,10,16,4
611,620,the mothman prophecies,2,16,10,18
612,621,friday the 13th part viii: jason takes manhattan,1,16,16,10
613,622,february,12,10,16,4
614,623,saw iv,11,16,10,17
615,624,hobo with a shotgun,3,1,17,98
616,625,happy death day 2u,0,16,10,50
617,626,shut in,2,16,10,18
618,627,"batman: the long halloween, part two",4,4,1,54
619,628,black water,3,2,5,37
620,629,the oxford murders,1,15,17,10
621,630,down a dark hall,2,11,17,51
622,631,hell high,11,16,16,60
623,632,untitled: the walking dead movie,2,16,7,97
624,633,stay alive,9,16,10,55
625,634,slaughterhouse rulez,3,1,11,44
626,635,the other lamb,2,16,10,18
627,636,repulsion,2,16,16,87
628,637,hypochondriac,2,16,16,87
629,638,breach,3,16,7,3
630,639,sputnik,2,16,10,18
631,640,doom: annihilation,3,2,17,9
632,641,anacondas: the hunt for the blood orchid,3,2,17,9
633,642,book of shadows: blair witch 2,1,11,17,1
634,643,death of me,12,10,16,4
635,644,in fabric,0,3,11,49
636,645,i still see you,9,16,7,71
637,646,the midnight meat train,12,10,16,4
638,647,the order,12,10,16,4
639,648,cerdita,2,16,16,87
640,649,what lies below,12,10,7,11
641,650,eight legged freaks,3,2,2,32
642,651,a girl walks home alone at night,2,16,6,97
643,652,club dread,0,16,10,50
644,653,the divide,2,16,7,97
645,654,galaxy of terror,3,2,17,9
646,655,veneciafrenia,1,16,16,10
647,656,w lesie dzis nie zasnie nikt,9,16,10,55
648,657,the x files: i want to believe,11,3,17,14
649,658,dracula: dead and loving it,0,11,17,1
650,659,night of the creeps,0,16,7,26
651,660,ravenous,1,16,9,18
652,661,bug,2,16,16,87
653,662,books of blood,2,16,10,18
654,663,shingeki no kyojin,3,2,5,37
655,664,feast,3,1,17,98
656,665,john dies at the end,0,11,17,1
657,666,thor: love and thunder,3,2,2,32
658,667,jurassic world dominion,3,2,7,5
659,668,doctor strange in the multiverse of madness,3,2,11,44
660,669,everything everywhere all at once,3,2,2,32
661,670,lightyear,4,4,4,13
662,671,the northman,3,2,5,37
663,672,the batman,3,15,5,27
664,673,thor: ragnarok,3,2,2,32
665,674,the man from toronto,3,2,16,33
666,675,the princess,3,3,11,30
667,676,spider-man: no way home,3,2,11,44
668,677,spiderhead,3,15,5,27
669,678,the lost city,3,2,2,32
670,679,thor,3,2,11,44
671,680,the unbearable weight of massive talent,3,1,1,47
672,681,rocketry: the nambi effect,3,7,5,29
673,682,fantastic beasts: the secrets of dumbledore,3,2,11,44
674,683,no time to die,3,2,16,33
675,684,jurassic park,3,2,7,5
676,685,paws of fury: the legend of hank,4,4,2,54
677,686,12 strong,3,3,14,52
678,687,the marvels,3,2,11,44
679,688,avengers: endgame,3,2,5,37
680,689,dune: part one,3,2,5,37
681,690,thor: the dark world,3,2,11,44
682,691,eternals,3,2,11,44
683,692,dc league of super-pets,4,4,4,13
684,693,avatar: the way of water,3,2,7,5
685,694,the dark knight,3,15,5,27
686,695,ambulance,3,15,5,27
687,696,inception,3,2,7,5
688,697,free guy,3,2,2,32
689,698,black panther: wakanda forever,3,2,5,37
690,699,the woman king,3,3,14,52
691,700,black adam,3,11,7,89
692,701,sonic the hedgehog 2,3,2,2,32
693,702,avengers: infinity war,3,2,7,5
694,703,the lord of the rings: the fellowship of the ring,3,2,5,37
695,704,guardians of the galaxy,3,2,2,32
696,705,american made,3,1,1,47
697,706,major,3,7,5,29
698,707,star wars,3,2,11,44
699,708,jurassic world,3,2,7,5
700,709,expend4bles,3,2,16,33
701,710,samaritan,3,3,11,30
702,711,independence day,3,2,7,5
703,712,moonfall,3,2,7,5
704,713,doctor strange,3,2,11,44
705,714,blade runner 2049,3,3,10,82
706,715,interceptor,3,2,5,37
707,716,black widow,3,2,7,5
708,717,jurassic world: fallen kingdom,3,2,7,5
709,718,the gentlemen,3,1,1,47
710,719,avatar,3,2,11,44
711,720,the king's man,3,2,16,33
712,721,wanted,3,15,16,35
713,722,tenet,3,6,16,19
714,723,the suicide squad,3,2,2,32
715,724,the adam project,3,2,2,32
716,725,gladiator,3,2,5,37
717,726,léon,3,15,5,27
718,727,captain marvel,3,2,7,5
719,728,shang-chi and the legend of the ten rings,3,2,11,44
720,729,mad max: fury road,3,2,7,5
721,730,pirates of the caribbean: the curse of the black pearl,3,2,11,44
722,731,heat,3,15,5,27
723,732,star wars: episode i - the phantom menace,3,2,11,44
724,733,chips,3,1,1,47
725,734,spider-man: homecoming,3,2,7,5
726,735,guardians of the galaxy vol. 2,3,2,2,32
727,736,enola holmes,3,2,1,66
728,737,black panther,3,2,7,5
729,738,doragon boru supa supa hiro,4,4,4,13
730,739,spider-man,3,2,7,5
731,740,the avengers,3,2,7,5
732,741,wrath of man,3,15,16,35
733,742,the lord of the rings: the return of the king,3,2,5,37
734,743,nobody,3,15,5,27
735,744,the hunger games,3,2,7,5
736,745,minority report,3,15,10,80
737,746,the last duel,3,3,14,52
738,747,john wick,3,15,16,35
739,748,blade runner,3,3,7,88
740,749,suicide squad,3,2,11,44
741,750,iron man,3,2,7,5
742,751,khuda haafiz chapter ii: agni pariksha,3,15,5,27
743,752,john wick: chapter 4,3,15,16,35
744,753,guardians of the galaxy vol. 3,3,2,2,32
745,754,red notice,3,1,16,33
746,755,ford v ferrari,3,7,5,29
747,756,deadpool,3,2,2,32
748,757,star wars: episode ix - the rise of skywalker,3,2,11,44
749,758,warrior,3,3,3,32
